City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,talnakh,69.4865,88.3972,256.04,80,100,4.67,RU,1706661482
167,polyarnyy,69.1989,33.4478,275.63,78,100,12.67,RU,1706661482
168,san andres,12.5847,-81.7006,301.16,69,20,3.6,CO,1706661188
169,ciranjang-hilir,-6.82,107.2572,298.68,89,89,0.64,ID,1706661482
170,san ignacio de velasco,-16.3667,-60.95,298.64,66,29,1.63,BO,1706661482
171,ketchikan,55.3422,-131.6461,281.41,93,100,7.2,US,1706661482
172,detroit lakes,46.8172,-95.8453,272.9,98,100,3.6,US,1706661306
173,paso robles,35.6266,-120.691,292.31,61,0,3.09,US,1706661483
174,serenje,-13.2325,30.2352,288.84,92,68,1.51,ZM,1706661483
175,cidreira,-30.1811,-50.2056,294.06,86,14,3.79,BR,1706661483
176,ribeira brava,32.65,-17.0667,292.6,62,96,0.89,PT,1706661483
177,carnarvon,-24.8667,113.6333,305.46,47,0,5.48,AU,1706661483
178,pariaman,-0.619,100.12,299.18,76,100,1.58,ID,1706661483
179,pacific grove,36.6177,-121.9166,289.49,84,0,4.47,US,1706661189
180,bamboo flat,11.7,92.7167,298.2,94,20,1.03,IN,1706661484
181,kutum,14.2,24.6667,286.1,26,3,4.22,SD,1706661484
182,cockburn town,21.4612,-71.1419,297.22,57,1,4.13,TC,1706661477
183,qaryat suluq,31.6682,20.2521,281.28,76,96,2.9,LY,1706661484
184,bonthe,7.5264,-12.505,298.98,88,64,2.7,SL,1706661484
185,nar'yan-mar,67.6713,53.087,267.1,92,17,4.92,RU,1706661484
186,loncoche,-39.3667,-72.6333,287.8,73,1,0.97,CL,1706661484
187,okola,4.0167,11.3833,297.4,98,100,1.66,CM,1706661485
188,poxoreo,-15.8372,-54.3892,297.39,74,100,0.85,BR,1706661485
189,sisimiut,66.9395,-53.6735,252.57,76,100,8.05,GL,1706661485
190,santa ana de yacuma,-13.75,-65.4333,298.28,89,99,1.83,BO,1706661485
